source,target,target,target,target,genre,imageurl,id
Mohammed Rafi,Manna Dey,Asha Bhosle,Lata Mangeshkar,qawwali,qawwali,c2c69fc14dc2f97c1520a6e70b8166dd2856d2ad.jpg,AR3UL6M1187FB53D1F
Mormon Tabernacle Choir,Michael Mclean,Kenneth Cope,Jenny Phillips,lds,lds,b519b746dd6b62f4b42a5881fd591c9e04b853b3.jpg,ARHPMTT11E2835D684
Neil Young,The Band,Warren Zevon,Van Morrison,roots rock,roots rock,245764d4b88a01a8171e0690a06ac791f0b86ef3.jpg,ARWT91C1187B9ACEAA
Nicky Jam,Voltio,Yomo,Trebol Clan,reggaeton,reggaeton,1fa41e6175f6fd3baab60c3341fe06b662f7e199.jpg,ARSTQ2A1187B99CF14
One Direction,Cher Lloyd,The Wanted,Big Time Rush,teen pop,teen pop,6c89c662ad0ab75bc2af9a3ae2b16f811daced50.jpg,ARZHFAY130708EE366
P!nk,Katy Perry,Britney Spears,Gwen Stefani,pop,pop,6527145f24eccd8d278beb80a12c58b08f90a7d2.jpg,ARZRYXF1187FB555CC
Pharrell Williams,The Neptunes,N.E.R.D.,Timbaland,pop rap,pop rap,7262271b9299f970843d3f3437ec1bd6544d9a2e.jpg,ARLIWDY1456895A560
Pyotr Ilyich Tchaikovsky,Antonín Dvo?ák,Sergei Rachmaninoff,Edvard Grieg,romantic,romantic,0d779eb9b65a5f1351d6ecbd6a222dba7a74fbb6.jpg,AROU14811C8A423BC1
Queen,Freddie Mercury,Brian May,Aerosmith,rock,rock,106f04597938cf8892c969fe187c2ddddc665094.jpg,ARL4TII1187B9B46E1
Ravi Shankar,The Ravi Shankar Project,Ali Akbar Khan,Zakir Hussain,indian classical,indian classical,aef030e0f417e665e66a538829ab8884d4b0ec08.jpg,AR34E0O1187B9A45AC
Richard Strauss,Gustav Mahler,Carl Maria von Weber,Jean Sibelius,romantic,romantic,44f3fc5c0d099b98b1539ef942d51c3cf895e316.jpg,AR8QG151187B9A0E57
Richard Wagner,R. Wagner,Wagner,Ludwig van Beethoven,classical,classical,c4631dcc5c63825db5840869f89cd629a4466c7b.jpg,AR8WBYL1187B9B2605
Ricky Martin,Enrique Iglesias,Luis Fonsi,Thalia,latin,latin,6a4178f5eaee176ec8cd244338c1fce02d9e6bdf.jpg,AR2FSX31187B98E3EF
Robert Johnson,Charley Patton,Mississippi Fred McDowell,Son House,traditional blues,traditional blues,ec4640d494630c33ca6f14e0e711c91a7461c3fd.jpg,AREWAAS1187B98C490
Rod Stewart,Joe Cocker,Steve Winwood,Paul Carrack,mellow gold,mellow gold,f89bfd24595170826c7ea1d13ce4f228713fac0b.jpg,ARYGO6R1187B9A7822
